"","species","site","trees","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","totAB"
"88","PCRU","HOW1",96,"C",20.9,17.6,132,1462546.103,5079345.939,-11.77669867,13.07934893,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",157.401787405715
"89","PCRU","HOW1",97,"C",20.9,17,133,1462546.286,5079345.293,-11.59397212,12.43301293,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",157.401787405715
"90","PCRU","HOW1",58,"C",32.1,29.9,205,1462530.781,5079320.224,-27.09860283,-12.63628603,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",401.634307387363
"91","PCRU","HOW1",139,"D",45,28,70,1462567.457,5079359.171,9.576564013,26.31139338,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",839.640221938882
"92","PCRU","HOW1",100,"C",32.9,19.8,123,1462547.096,5079349.466,-10.78385289,16.60567725,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",423.807816547745
"93","PCRU","HOW2",82,"C",12.6,2.9,153,1462192.656,5079334.177,-2.58391892,1.316572449,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",52.1481873562078
"94","PCRU","HOW1",75,"I",13.3,3.9,156,1462554.317,5079334.446,-3.562827285,1.586272908,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",58.6811274490769
"95","PCRU","HOW2",17,"C",26.3,16.1,89,1462195.521,5079348.958,0.280983744,16.09754789,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",259.952331011146
"96","PCRU","HOW1",104,"I",31.7,22.6,152,1462537.925,5079343.47,-19.9546156,10.61005732,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",390.789320325572
"97","PCRU","HOW1",118,"C",24.6,10.5,65,1462562.317,5079342.376,4.437491748,9.516231764,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",224.668225947162
"98","PCRU","HOW1",66,"C",26.4,9.4,210,1462549.739,5079328.16,-8.140638796,-4.7,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",262.114888105532
"99","PCRU","HOW1",67,"I",14.8,9.1,221,1462551.012,5079326.89,-6.86785718,-5.970137164,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",74.0988796922304
"100","PCRU","HOW1",68,"C",19.1,9.9,243,1462553.385,5079324.039,-4.494505947,-8.820964589,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",129.308227277495
"101","PCRU","HOW2",10,"C",21.4,13.1,41,1462205.127,5079341.454,9.886695501,8.59437328,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",165.738568852749
"102","PCRU","HOW1",110,"I",17,9.5,4,1462567.357,5079333.523,9.476858477,0.662686501,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",100.276764466658
"103","PCRU","HOW1",71,"C",29.4,18.1,252,1462552.287,5079315.646,-5.593207598,-17.21412294,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",331.537409290593
"104","PCRU","HOW2",53,"C",31,11.3,289,1462198.919,5079322.176,3.678920145,-10.6843599,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",372.197022741798
"105","PCRU","HOW1",113,"C",16.8,11.1,34,1462567.082,5079339.067,9.202317055,6.207041229,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",97.7193296768295
"106","PCRU","HOW1",34,"I",15.7,5,207,1462553.425,5079330.59,-4.455032621,-2.269952499,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",84.2906219582586
"107","PCRU","HOW2",29,"C",16.6,12.4,20,1462206.892,5079337.101,11.6521885,4.241049777,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",95.1976600015646
"108","PCRU","HOW1",129,"C",22.5,14.3,345,1462571.693,5079329.159,13.81273932,-3.701112345,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",184.903339197785
"109","PCRU","HOW2",98,"C",27.5,11.3,120,1462189.59,5079342.646,-5.65,9.786087063,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",286.545496875134
"110","PCRU","HOW3",72,"C",26.4,14.9,8,1462134.525,50793335.6,14.75499422,2.073679204,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",262.114888105532
"111","PCRU","HOW1",79,"C",15.5,7.2,105,1462556.017,5079339.815,-1.863497125,6.954665949,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",81.9642396186231
"112","PCRU","HOW1",120,"C",28.5,12,44,1462566.512,5079341.196,8.632077604,8.335900446,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",309.782333304042
"113","PCRU","HOW2",22,"C",39.1,17.8,43,1462208.258,5079345,13.01809589,12.13957081,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",617.806080825874
"114","PCRU","HOW2",63,"S",18.5,10.6,224,1462187.615,5079325.497,-7.625001884,-7.363378727,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",120.605246401078
"115","PCRU","HOW1",83,"I",12.7,9.1,100,1462556.3,5079341.822,-1.580198417,8.961750552,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",53.0559188203325
"116","PCRU","HOW1",84,"I",15,9.9,110,1462554.494,5079342.163,-3.385999419,9.302956946,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",76.3022835725501
"117","PCRU","HOW1",125,"I",25.1,18.6,21,1462575.245,5079339.526,17.36459593,6.665643862,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",234.756729846953
"118","PCRU","HOW1",86,"C",19.3,10.9,161,1462547.574,5079336.409,-10.30615247,3.548692884,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",132.282356452037
