site,trees,species,Canopy,dbh,dist,azimuth,
HOW3,55,TSCA,C,34,14.3,215,Li
HOW3,56,TSCA,C,26.6,15.6,210,Li
HOW3,57,TSCA,C,43.4,19,198,Li
HOW3,58,TSCA,D,47.1,14.7,238,Li
HOW3,59,TSCA,I,13.9,8.6,260,Li
HOW3,60,TSCA,I,22.8,15.6,265,Li
HOW3,61,TSCA,,26.8,20,178,Log
HOW3,62,THOC,,20,13.5,108,Log
HOW3,63,THOC,,10.1,10.5,243,Log
HOW3,64,PIST,,86.5,18,150,St
HOW3,65,PCRU,C,18.2,5.5,149,Li
HOW3,66,PCRU,C,24.2,16.8,152,Li
HOW3,67,PCRU,C,34.7,14.5,97,Li
HOW3,68,PCRU,C,21,18.9,110,Li
HOW3,69,PCRu,D,26.6,13.9,60,Li
HOW3,70,PCRU,C,30.6,16,88,Li
HOW3,71,PCRU,C,31.5,18.2,90,Li
HOW3,72,PCRU,C,26.4,14.9,8,Li
HOW3,73,PCRU,C,32.6,14.9,10,Li
HOW3,74,PCRU,C,23.7,16.9,28,Li
HOW3,75,PCRU,D,37.6,9.7,339,Li
HOW3,76,PCRU,C,25.7,16.8,295,Li
HOW3,77,PCRU,I,23.4,19.5,300,Li
HOW3,78,PCRU,C,28,12.4,274,Li
HOW3,79,PCRU,C,34.3,17.8,342,Li
HOW3,80,PCRU,I,12.2,10.2,245,Li
HOW3,81,PCRU,D,37.1,16.1,253,Li
HOW3,82,BEAL,C,21,16.5,105,Li
HOW3,83,ACRU,C,29.3,7.4,47,Li
HOW3,84,ACRU,D,43.4,11.2,60,Li
HOW3,85,ACRU,I,23.9,14.8,45,Li
HOW3,86,ACRU,D,37,19.9,40,Li
HOW3,87,ACRU,I,14,9.3,305,Li
HOW3,88,ACRU,C,33.2,18.2,305,Li
HOW3,89,ACRU,C,31.1,14,270,Li
HOW3,90,ACRU,D,22.6,18.4,280,Li
HOW3,91,ACRU,C,27,13.7,200,Li
HOW3,92,ACRU,C,39.2,18.3,200,Li
