"","species","site","trees","meanRW","year","rACUM","rACUM.inv","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","dbhest1","dbhest2","AB","annAB","annAB.ha"
"41","ABBA","HOW1",115,0.857,1972,40.103,13.717,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",10.6852,10.8566,29.8182605335621,1.00547455900832,8.0013123109659
"42","ABBA","HOW1",115,0.641,1976,42.493,11.327,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",11.2064,11.3346,32.7202640723025,0.792503266206295,6.3065406116602
"43","ABBA","HOW1",115,0.5245,1989,49.0385,4.7815,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.5388,12.6437,41.4127470919286,0.737050988678931,5.86526540795102
"44","ABBA","HOW1",115,0.4815,1990,49.52,4.3,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.6437,12.74,42.0956230114171,0.6828759194885,5.4341539052509
"45","ABBA","HOW1",115,0.474,1991,49.994,3.826,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.74,12.8348,42.7737135317544,0.678090520337337,5.39607290877213
"46","ABBA","HOW1",115,0.323,1992,50.317,3.503,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.8348,12.8994,43.2391171848385,0.46540365308402,3.70356459606737
"47","ABBA","HOW1",115,0.584,1973,40.687,13.133,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",10.8566,10.9734,30.514040489274,0.695779955711926,5.53684096279066
"48","ABBA","HOW1",115,0.531,1984,46.4455,7.3745,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.0189,12.1251,37.8379819920893,0.710743557052655,5.65591751878233
"49","ABBA","HOW1",115,0.1,2001,51.888,1.932,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.1936,13.2136,45.5412912996884,0.148450713918925,1.18133324628589
"50","ABBA","HOW1",115,1.7545,1955,21.4565,32.3635,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",6.7764,7.1273,12.0371635598248,1.24116900866413,9.87690914706822
"51","ABBA","HOW1",115,0.087,2000,51.788,2.032,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.1762,13.1936,45.3928405857695,0.128940784861479,1.02607816384265
"52","ABBA","HOW1",115,0.129,2004,52.281,1.539,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.2664,13.2922,46.1272205730972,0.192770648357906,1.53402007845952
"53","ABBA","HOW1",115,0.105,2005,52.386,1.434,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.2922,13.3132,46.2844464425014,0.157225869404159,1.25116371487963
"54","ABBA","HOW1",115,0.116,2002,52.004,1.816,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.2136,13.2368,45.7138196856912,0.172528386002747,1.37293727280019
"55","ABBA","HOW1",115,1.218,1959,26.6865,27.1335,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",7.9297,8.1733,16.1702569549254,1.02097043501967,8.12462457420319
"56","ABBA","HOW1",115,0.24,1996,51.269,2.551,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.0418,13.0898,44.6265531803569,0.351988684965537,2.80103695623405
"57","ABBA","HOW1",115,0.504,1986,47.5135,6.3065,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.2379,12.3387,39.2894040975092,0.688590138331385,5.4796262139886
"58","ABBA","HOW1",115,0.143,1997,51.412,2.408,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.0898,13.1184,44.8369902924485,0.210437112091651,1.67460532996848
"59","ABBA","HOW1",115,0.8305,1970,38.5205,15.2995,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",10.374,10.5401,27.976028239267,0.941651130526987,7.49342160457208
"60","ABBA","HOW1",115,1.496,1960,28.1825,25.6375,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",8.1733,8.4725,17.4732300453398,1.30297309041439,10.3687304027586
"61","ABBA","HOW1",115,0.62,1988,48.514,5.306,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.4148,12.5388,40.6756961032497,0.862107723876499,6.86043528663238
"62","ABBA","HOW1",115,0.564,1985,47.0095,6.8105,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.1251,12.2379,38.6008139591778,0.762831967088499,6.07042391553243
"63","ABBA","HOW1",115,0.118,1999,51.701,2.119,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.1526,13.1762,45.263899800908,0.174571046824973,1.38919225114606
"64","ABBA","HOW1",115,1.5145,1956,22.971,30.849,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",7.1273,7.4302,13.1669693774697,1.12980581764499,8.99070903060903
"65","ABBA","HOW1",115,0.918,1969,37.69,16.13,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",10.1904,10.374,27.03437710874,1.02077824931885,8.1230952089893
"66","ABBA","HOW1",115,0.3805,1987,47.894,5.926,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.3387,12.4148,39.8135883793732,0.524184281863999,4.17132597748654
"67","ABBA","HOW1",115,0.148,2003,52.152,1.668,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.2368,13.2664,45.9344499247393,0.220630239048112,1.75571965700268
"68","ABBA","HOW1",115,0.171,1998,51.583,2.237,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.1184,13.1526,45.0893287540831,0.25233846163453,2.008045675067
